1.1,Arrays and Classes
1.2,Methods
1.3,Control Flow
1.4,Dynamic Data Structures
2.1,Review
2.2,Object-Oriented Programming
2.3,File IO
2.4,File IO Continued
3.1,Review
3.2,JavaFX
3.3,Android
3.4,LibGDX
4.1,Micro-Blog
4.2,Micro-Blog Continued
4.3,Paging
4.4,CRUD
5.1,SQL Basics
5.2,SQL Joins and Test-Driven Development
5.3,SQL Paging
5.4,1st Group Project
6.1,Micro-Blog Spring
6.2,Micro-Blog Spring Continued
6.3,ORM OMG
6.4,CRUD Spring
